Timestamp,Application,Module,Status,Error_Code,Response_Time(ms)
01-06-2026 09:00,E-Commerce,Login,Failed,ERR101,1200
01-06-2026 09:02,E-Commerce,Login,Success,-,320
01-06-2026 09:05,E-Commerce,Cart,Failed,ERR205,980
01-06-2026 09:07,E-Commerce,Payment,Failed,ERR301,1800
01-06-2026 09:10,E-Commerce,Payment,Success,-,450
01-06-2026 09:15,E-Commerce,Orders,Success,-,390
01-06-2026 09:20,E-Commerce,Orders,Failed,ERR404,1350
01-06-2026 09:25,E-Commerce,Search,Success,-,270
01-06-2026 09:30,E-Commerce,Search,Failed,ERR502,1100
01-06-2026 09:35,E-Commerce,Payment,Success,-,410
